Habitat_type,total_vOTUs,percentage
Agricultural,36975,8.34
Digestive,18188,4.10
Freshwater,65390,14.76
Marine,217916,49.18
Natural Soil,25963,5.86
Non-marine Saline and Alkaline,5702,1.29
Other,14905,3.36
Peat soil,14462,3.26
Rhizosphere Soil,43639,9.85
